   0.400000000000000E+05   0.101638807260373E+01   0.214119816637719E+01  -0.219233706726065E+00   0.214137588835975E+01  -0.221431182131373E+00   0.198233474778332E+01  -0.218205434294776E+00
   0.401000000000000E+05   0.101079263558855E+01   0.272101327656442E+01  -0.109654787238077E+00   0.272096232081765E+01  -0.110742047979451E+00   0.198371974647636E+01  -0.217931559274635E+00
   0.402000000000000E+05   0.101241719176929E+01   0.272449549663351E+01  -0.107281255665266E+00   0.272436611694657E+01  -0.108362061997922E+00   0.198698908211823E+01  -0.214413064673422E+00
   0.403000000000000E+05   0.100892467115497E+01   0.272784717771304E+01  -0.106052297966845E+00   0.272759993284102E+01  -0.107153866107624E+00   0.199455680924691E+01  -0.213294488176640E+00
   0.404000000000000E+05   0.105622291716051E+01   0.330144665643082E+01  -0.191013542107030E-16   0.330144652748258E+01  -0.199770985864030E-16   0.200141360130267E+01  -0.218759149881181E+00
   0.405000000000000E+05   0.104841873650973E+01   0.330249586466748E+01  -0.188645063362673E-18   0.330249573692892E+01  -0.198161705442992E-18   0.200675691508539E+01  -0.213672193475034E+00
   0.406000000000000E+05   0.129842703517858E+01   0.330354248556328E+01  -0.149634744958450E-20   0.330354235902014E+01  -0.157868591708708E-20   0.330354259432176E+01  -0.251837976467271E-18
   0.407000000000000E+05   0.132187281327094E+01   0.330458653184733E+01  -0.961150591022547E-23   0.330458640648554E+01  -0.101841784189955E-22   0.330458663959861E+01  -0.202077234909464E-20
   0.408000000000000E+05   0.130625607088968E+01   0.330562801615501E+01  -0.503640713423142E-25   0.330562789196072E+01  -0.535930529303306E-25   0.330562812291083E+01  -0.111100250739718E-22
   0.409000000000000E+05   0.128282680813656E+01   0.330666695102892E+01  -0.216723181080032E-27   0.330666682798846E+01  -0.231594212138261E-27   0.330666705680085E+01  -0.525456859081157E-25
   0.410000000000000E+05   0.130627252511334E+01   0.330770334891979E+01  -0.770479076342656E-30   0.330770322701968E+01  -0.826797729873755E-30   0.330770345371923E+01  -0.224044507337612E-27
   0.411000000000000E+05   0.130628072192060E+01   0.330873722218735E+01  -0.227546989568760E-32   0.330873710141432E+01  -0.245192391282253E-32   0.330873732602556E+01  -0.798139099519085E-30
   0.412000000000000E+05   0.131410139865828E+01   0.330976858310125E+01  -0.561071946460398E-35   0.330976846344220E+01  -0.607062377623153E-35   0.330976868598931E+01  -0.196322633923856E-32
   0.413000000000000E+05   0.130629705542495E+01   0.331079744384190E+01  -0.116040565214356E-37   0.331079732528390E+01  -0.126062217806426E-37   0.331079754579075E+01  -0.499888385864846E-35
   0.414000000000000E+05   0.132193019231981E+01   0.331182381650133E+01  -0.202160862411706E-40   0.331182369903167E+01  -0.220502806713433E-40   0.331182391752177E+01  -0.868556994713322E-38
   0.415000000000000E+05   0.129850080943996E+01   0.331284771308410E+01  -0.297848910573459E-43   0.331284759669021E+01  -0.326164522221235E-43   0.331284781318675E+01  -0.141014695944685E-40
   0.416000000000000E+05   0.131413390688219E+01   0.331386914550807E+01  -0.372478534742206E-46   0.331386903017756E+01  -0.409493973199388E-46   0.331386924470342E+01  -0.232094949018218E-43
   0.417000000000000E+05   0.129851698474332E+01   0.331488812560526E+01  -0.396733941706653E-49   0.331488801132593E+01  -0.437857970441417E-49   0.331488822390367E+01  -0.222215055607150E-46
   0.418000000000000E+05   0.130633754311843E+01   0.331590466512269E+01  -0.361060598418154E-52   0.331590455188251E+01  -0.400022031478069E-52   0.331590476253435E+01  -0.218823949615231E-49
   0.419000000000000E+05   0.129853308210228E+01   0.331691877572318E+01  -0.281608730848851E-55   0.331691866351026E+01  -0.313185982509534E-55   0.331691887225817E+01  -0.196911992991023E-52
   0.420000000000000E+05   0.130635360178905E+01   0.331793046898615E+01  -0.188764948235125E-58   0.331793035778878E+01  -0.210723333168916E-58   0.331793056465438E+01  -0.131973990801231E-55
   0.421000000000000E+05   0.129854910227206E+01   0.331893975640840E+01  -0.109033108986808E-61   0.331893964621503E+01  -0.122170863816812E-61   0.331893985121967E+01  -0.814084153331481E-59
   0.422000000000000E+05   0.130636958364449E+01   0.331994664940493E+01  -0.544057627264038E-65   0.331994654020415E+01  -0.611864485732143E-65   0.331994674336888E+01  -0.448558584711653E-62
   0.423000000000000E+05   0.129856504599789E+01   0.332095115930967E+01  -0.235076532704573E-68   0.332095105109026E+01  -0.265340811698973E-68   0.332095125243584E+01  -0.204943432514312E-65
   0.424000000000000E+05   0.129076048942396E+01   0.332195329737627E+01  -0.881506795428388E-72   0.332195319012715E+01  -0.998592811701482E-72   0.332195338967406E+01  -0.854202556415563E-69
   0.425000000000000E+05   0.129858091401320E+01   0.332295307477889E+01  -0.287487130521491E-75   0.332295296848911E+01  -0.326838308288465E-75   0.332295316625757E+01  -0.290991196332994E-72
   0.426000000000000E+05   0.130640131985576E+01   0.332395050261286E+01  -0.817082664580599E-79   0.332395039727164E+01  -0.932215497025628E-79   0.332395059328157E+01  -0.942670159054161E-76
   0.427000000000000E+05   0.132203420704115E+01   0.332494559189552E+01  -0.202770422370101E-82   0.332494548749222E+01  -0.232153333216947E-82   0.332494568176328E+01  -0.240926372481336E-79
   0.428000000000000E+05   0.129860457565818E+01   0.332593835356686E+01  -0.440180977463775E-86   0.332593825009098E+01  -0.505715216742166E-86   0.332593844264258E+01  -0.738783724790490E-83
   0.429000000000000E+05   0.131423742579501E+01   0.332692879849030E+01  -0.837349445118315E-90   0.332692869593150E+01  -0.965318376939485E-90   0.332692888678276E+01  -0.132506360575451E-86
