0  1.05118
100  1.05021
200  1.04776
300  1.04443
400  1.04008
500  1.03248
600  1.02952
700  1.04535
800  1.04104
900  1.03776
1000  1.04537
1100  1.04087
1200  1.03731
1300  1.04206
1400  1.0457
1500  1.04646
1600  1.03897
1700  1.04896
1800  1.05038
1900  1.05186
2000  1.05159
2100  1.04643
2200  1.05546
2300  1.05216
2400  1.0468
2500  1.05062
2600  1.05184
2700  1.05614
2800  1.05725
2900  1.05915
3000  1.05553
3100  1.05407
3200  1.05543
3300  1.06179
3400  1.05139
3500  1.06281
3600  1.06249
3700  1.06442
3800  1.05562
3900  1.06906
4000  1.05835
4100  1.06721
4200  1.06893
4300  1.0638
4400  1.05985
4500  1.06556
4600  1.06958
4700  1.06769
4800  1.06339
4900  1.07391
5000  1.07063
5100  1.07129
5200  1.06438
5300  1.07939
5400  1.07476
5500  1.06151
5600  1.07619
5700  1.07259
5800  1.0706
5900  1.07836
6000  1.07391
6100  1.06965
6200  1.07321
6300  1.07694
6400  1.07982
6500  1.08052
6600  1.0753
6700  1.07606
6800  1.08412
6900  1.0757
7000  1.08456
7100  1.07426
7200  1.08374
7300  1.08518
7400  1.07849
7500  1.08904
7600  1.09059
7700  1.0866
7800  1.0975
7900  1.09534
8000  1.09254
8100  1.09448
8200  1.09981
8300  1.08979
8400  1.0912
8500  1.09457
8600  1.09662
8700  1.09417
8800  1.10017
8900  1.09835
9000  1.10455
9100  1.09264
9200  1.09652
9300  1.10238
9400  1.10444
9500  1.09767
9600  1.10379
9700  1.1082
9800  1.10349
9900  1.10869
10000  1.11512
10100  1.10878
10200  1.10966
10300  1.10825
10400  1.11541
10500  1.11499
10600  1.11802
10700  1.12269
10800  1.09816
10900  1.12235
11000  1.11642
11100  1.12648
11200  1.12681
11300  1.11423
11400  1.12706
11500  1.12377
11600  1.13095
11700  1.13528
11800  1.13055
11900  1.13053
12000  1.13347
12100  1.13428
12200  1.13632
12300  1.13809
12400  1.14642
12500  1.13828
12600  1.13791
12700  1.14833
12800  1.14759
12900  1.14843
13000  1.14563
13100  1.14962
13200  1.15555
13300  1.15213
13400  1.15596
13500  1.15544
13600  1.15956
13700  1.1625
13800  1.1631
13900  1.15749
14000  1.16319
14100  1.17037
14200  1.17272
14300  1.16385
14400  1.16865
14500  1.17271
14600  1.1751
14700  1.17487
14800  1.17747
14900  1.16094
15000  1.18155
15100  1.18775
15200  1.18661
15300  1.19169
15400  1.19155
15500  1.20461
15600  1.2037
15700  1.20163
15800  1.20415
15900  1.20759
16000  1.2117
16100  1.20309
16200  1.21369
16300  1.21956
16400  1.22314
16500  1.22717
16600  1.22439
16700  1.22678
16800  1.22147
16900  1.23217
17000  1.23597
17100  1.2408
17200  1.24423
17300  1.24603
17400  1.25025
17500  1.25358
17600  1.25445
17700  1.25406
17800  1.26391
17900  1.26124
18000  1.27288
18100  1.26715
18200  1.269
18300  1.2723
18400  1.28285
18500  1.28679
18600  1.29064
18700  1.28522
18800  1.28697
18900  1.30024
19000  1.30585
19100  1.31116
19200  1.31023
19300  1.31803
19400  1.32647
19500  1.32364
19600  1.3329
19700  1.33402
19800  1.33809
19900  1.33675
20000  1.34604
20100  1.34325
20200  1.35176
20300  1.34667
20400  1.35468
20500  1.3686
20600  1.37745
20700  1.36883
20800  1.38132
20900  1.38501
21000  1.37623
21100  1.39405
21200  1.4004
21300  1.40882
21400  1.40371
21500  1.41406
21600  1.39893
21700  1.42681
21800  1.43171
21900  1.43786
22000  1.44618
22100  1.43738
22200  1.45036
22300  1.45308
22400  1.45927
22500  1.47056
22600  1.46982
22700  1.48249
22800  1.48747
22900  1.48911
23000  1.50568
23100  1.50908
23200  1.51932
23300  1.51575
23400  1.50651
23500  1.53666
23600  1.53848
23700  1.55116
23800  1.56604
23900  1.56065
24000  1.56745
24100  1.57454
24200  1.58382
24300  1.59127
24400  1.59825
24500  1.5891
24600  1.60184
24700  1.61519
24800  1.63481
24900  1.61469
25000  1.63856
25100  1.65059
25200  1.67096
25300  1.66359
25400  1.6826
25500  1.68953
25600  1.69188
25700  1.70594
25800  1.70504
25900  1.69563
26000  1.73274
26100  1.70744
26200  1.73314
26300  1.75366
26400  1.75347
26500  1.76535
26600  1.77395
26700  1.79581
26800  1.80365
26900  1.79436
27000  1.81993
27100  1.82825
27200  1.82815
27300  1.84999
27400  1.85776
27500  1.86298
27600  1.87652
27700  1.89453
27800  1.87724
27900  1.90817
28000  1.91841
28100  1.93099
28200  1.93791
28300  1.93995
28400  1.9597
28500  1.96208
28600  1.9551
28700  1.98537
28800  1.98568
28900  2.00518
29000  2.00311
29100  1.9745
29200  2.02496
29300  2.02832
29400  2.05301
29500  2.06201
29600  2.069
29700  2.07868
29800  2.08282
29900  2.09209
30000  2.11678
30100  2.12187
30200  2.11657
30300  2.06309
30400  2.14789
30500  2.14011
30600  2.13829
30700  2.11653
30800  2.18667
30900  2.1419
31000  2.18376
31100  2.1955
31200  2.20924
31300  2.19148
31400  2.21565
31500  2.21758
31600  2.2273
31700  2.22629
31800  2.25035
31900  2.23338
32000  2.25512
32100  2.2505
32200  2.24904
32300  2.25726
32400  2.28803
32500  2.27111
32600  2.28258
32700  2.26479
32800  2.28315
32900  2.29321
33000  2.28446
33100  2.24636
33200  2.28205
33300  2.29267
33400  2.29132
33500  2.2951
33600  2.19877
33700  2.25993
33800  2.27314
33900  2.26024
34000  2.26166
34100  2.27932
34200  2.25538
34300  2.24395
34400  2.23628
34500  2.23959
34600  2.22741
34700  2.23148
34800  2.21881
34900  2.21473
35000  2.22512
